particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,fit_npts
3736,80,0.262700146778591,0.01897148273532947,0.7202294609941418,0.8306944975084937,30
2305,79,0.2110383982279535,0.008547087946155671,0.2359695194705489,0.9689555659551651,30
5773,79,0.06282560137182698,0.0009395391822510166,0.0028984739624277537,1.0984152446706994,30
3930,78,0.8320689065981032,0.030865809799347065,-1.3844958200900133,1.2831345073432816,30
7031,78,0.17921996052304412,0.013156646597866672,0.43876899449488177,0.945252862720755,30
4133,78,0.3402887585710913,0.009824828604841069,-0.37620093067325916,1.1900371968704166,30
6624,77,0.06270590656704651,0.015060976905189379,0.8199951210362075,0.5559481847961275,30
5992,77,0.2658195136656167,0.005417599033906995,0.14186331577165806,0.9380979410711882,30
5175,77,0.2905804039936362,0.006610320285097273,0.30943215346977776,0.8316202730938125,30
4697,77,0.06405776024143918,0.010450194532110643,0.5839539147525729,0.522552572786305,30
4057,76,0.06580663728648443,0.0019386183892665398,0.1251671807464019,0.6926721128836996,30
5243,76,0.006448726220840482,0.0009161257268900895,0.06711101989843585,0.43404501748712415,30
2410,75,0.1702226774343555,0.002830776932157152,0.10744412580772858,0.911067951155883,30
7132,75,0.3028369240170604,0.01200674242428978,0.39356832997933333,0.9649534377882484,30
7256,75,0.13177071563677317,0.00696958999423412,0.3953907940683226,0.7420066491729909,30
5099,75,0.06489640895499525,0.007263848546759572,0.29947648756833206,0.7066536932099811,30
1553,75,0.06096902456185597,0.004333804133588399,0.19368518189887418,0.7062292776558576,30
5110,75,0.08569379201602507,0.00305551583733283,0.06934605454306669,0.8044884190227402,30
5563,74,1.4663033762269346,0.058603008851581324,-2.7063573227821918,1.4293639696175051,30
3481,74,0.048273350203049174,0.001647796918637382,-0.0010680442085368442,0.8227246574598621,30
4394,74,0.005237372344825506,0.0016099726871980488,0.119403800312948,0.32135088235429854,30
3249,73,0.11132878914758594,0.003471007740897082,0.10017500509968896,0.7130801148428422,30
5065,73,0.04378695857615075,0.003589680688864104,0.22407998673080645,0.5453980593347272,30
5812,73,0.1445269251545862,0.008932525579563314,0.6022846470613716,0.5463027806624796,30
2114,72,0.5237196828317202,0.007200247640067886,-0.21001046790399822,1.1419303512765524,30
6406,72,0.16142945227470964,0.004551181806372387,-0.0131443998348562,0.8802023331006127,30
5137,71,0.2630937264098786,0.007537531879443024,0.2057409662913997,0.9808749735029265,30
1449,70,0.06402713122922493,0.00286614609916737,0.1295843261793971,0.6463250950641389,30
5236,70,0.024063996114269015,0.003718026692517224,0.19737582516562846,0.49502633118053324,30
6286,70,0.07396917162715576,0.005346103560555224,0.37447668457538347,0.5537887009377421,30
6720,69,0.022964802949952384,0.0032526345540687084,0.21132366979625936,0.4601644888637346,30
5651,69,0.20804217227386562,0.00847662945304238,0.2718914180767407,0.8095238188960113,30
6713,68,0.11916881622623593,0.009482992594530238,0.3850594241917698,0.6976264733694395,30
3049,68,0.1349324107505213,0.019226437012091487,0.5571984630196354,0.7555922814317396,30
1411,68,0.01419203540729209,0.0007582191231577916,0.07609873419568614,0.44261874049633715,30
7202,68,0.2161304743807803,0.0066325354834633,-0.15087700712900978,1.0194077562386417,30
6665,67,0.043689153730208125,0.00699555719689837,0.5076805796714455,0.4117822074977595,30
7155,67,0.4273028816318518,0.007718481897034549,-0.20834278481607166,1.0371505737421463,30
40,67,0.10420749218130844,0.015835358541788417,0.5854797345118318,0.6443523324543857,30
5719,67,0.1562568482898502,0.014386116042301562,0.6429907243395676,0.7307640885038992,30
5689,67,0.004463908168479399,0.000596088982859771,0.08408272123275293,0.18174327653283798,30
5785,67,0.16106874366103388,0.004837148178007142,-0.010488933078465004,1.02571956993268,30
3188,66,0.17965068093539774,0.006853777944975862,0.16020480043164154,0.8700558956570673,30
5685,66,0.22155341721694755,0.009627249558941139,-0.14204194428477734,0.9824778834967263,30
1426,66,0.02572039008742706,0.0019367133131225913,0.11799597025275173,0.5891429982097798,30
855,65,0.023478903934277016,0.003193435780115605,0.17698601315447313,0.4633254045860403,30
27,65,0.08709906070597756,0.0042742815174544885,0.19083821206737875,0.8378567828010626,30
2586,64,0.027511211417817132,0.0006289500535819806,0.018190726752477696,0.7260486962034689,30
1627,64,0.15503827949080337,0.004240578422072497,0.32160511568464645,0.710834073375409,30
864,63,0.002844908234291942,0.0019524049604136855,0.2186941233580207,0.10399064891810508,30
