t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved
45.0,57206.0,214.236328125,351.136962890625,286.6909484863281,117.85623976483568,209.95237226938508,0.0,43166.0,0.3175799501785832,0.3742442053146533,0.0
46.0,58173.0,215.16188049316406,352.1848449707031,287.33258056640625,118.42995766219543,208.91337901780983,0.0,43566.0,-0.2320239729591549,0.5058008140644006,0.0
47.0,59160.0,216.1114044189453,353.2701721191406,288.0726318359375,119.01878580594118,207.96405939422664,0.0,45836.0,-0.3310807339219082,0.20695760704870736,0.0
48.0,60064.0,216.94198608398438,353.91937255859375,286.91259765625,119.5828950430505,207.52168556923237,0.0,45139.0,0.220739536499309,0.49456361014489403,0.0
49.0,61032.0,217.82876586914062,354.70208740234375,286.225830078125,120.23361682045898,206.8271017022517,0.0,46963.0,0.3890667508799197,0.7613521860406536,0.0
50.0,61767.0,218.65855407714844,355.4849548339844,285.8819885253906,120.71674305343691,206.49624693627914,0.0,46926.0,-0.4178878946867144,0.19897427875343965,0.0
51.0,62738.0,219.62767028808594,356.2010192871094,284.35540771484375,121.31363117025477,205.93481978346543,0.0,47246.0,-0.14375001033170065,-0.0542679963339765,0.0
52.0,63626.0,220.7074432373047,357.18658447265625,283.73541259765625,121.87526010563698,205.48479154401466,0.0,48002.0,0.07546006987081455,0.3936483769562642,0.0
53.0,64719.0,222.23641967773438,358.7769470214844,283.94091796875,122.57590331612792,204.98024284459294,0.0,49586.0,0.04066786985276849,0.05980743072115047,0.0
54.0,65558.0,223.25177001953125,360.1809387207031,286.099365234375,123.11033604979676,204.83200433340556,0.0,50088.0,0.09103236507075962,0.19631180345504617,0.0
55.0,66693.0,224.32008361816406,361.5987243652344,288.16522216796875,123.8940221381945,204.70710783946902,0.0,50752.0,-0.10525735781027379,0.4739567691454454,0.0
56.0,67741.0,225.33580017089844,362.70208740234375,288.6495666503906,124.63287097241472,204.70710783946902,0.0,51542.0,-0.02230094051390097,0.41892826808737027,0.0
57.0,68599.0,225.7161865234375,362.97637939453125,287.9386901855469,125.22335811425833,205.18650049805922,0.0,52241.0,-0.15078002334905705,0.23690008423898234,0.0
58.0,69434.0,225.97836303710938,363.3044738769531,288.34075927734375,125.7696586500163,205.42967166077128,0.0,53351.0,-0.04671268404217699,0.33114607291992115,0.0
59.0,70334.0,227.69842529296875,365.1382751464844,288.9517517089844,126.39077247758482,205.74146342664594,0.0,54337.0,-0.08938224964072106,0.18692630094290053,0.0
60.0,71313.0,228.6504364013672,366.564208984375,292.18402099609375,127.07428007873847,206.63010429267078,0.0,55426.0,-0.12998428484229407,0.888076948031653,0.0
61.0,72405.0,229.37890625,367.3289794921875,292.4031982421875,127.75992993340847,206.49648907199833,0.0,55915.0,0.01326695995476257,0.7454045953991226,0.0
62.0,73388.0,230.07205200195312,368.18402099609375,293.5867004394531,128.36664086463685,206.64268657456535,0.0,57088.0,0.19309403592376384,0.9507596026637088,0.0
63.0,74374.0,231.235595703125,369.4971008300781,294.6994323730469,128.97139643622074,206.59089988360108,0.0,57482.0,-0.2684431360474946,0.730407196081444,0.0
64.0,75270.0,231.95974731445312,370.28472900390625,295.1750793457031,129.52686706589088,206.8912757948,0.0,58724.0,-0.018693713886023033,0.16814658624389267,0.0
65.0,76250.0,232.97633361816406,371.492431640625,296.74774169921875,130.1029197348331,207.35512956469498,0.0,59425.0,-0.3225712908595142,0.703971698401233,0.0
66.0,77186.0,233.87954711914062,372.5041198730469,297.67376708984375,130.71710221547227,207.56203891848818,0.0,61278.0,-0.17192630074794124,1.3664561425693478,0.0
67.0,78285.0,234.87802124023438,373.56158447265625,298.16778564453125,131.4297437339618,207.93364324147623,0.0,61643.0,0.2937622393574202,0.7370026985341838,0.0
68.0,79406.0,236.43743896484375,375.092529296875,297.8185119628906,132.13850559751964,209.16978745234104,0.0,62862.0,0.03098923671200282,0.6196876869198604,0.0
69.0,80728.0,237.69354248046875,376.4049987792969,298.2853698730469,132.90145337391644,210.65588041604516,0.0,62630.0,0.07583094539734248,0.37150962329445747,0.0
70.0,81907.0,238.63902282714844,377.2250061035156,297.060302734375,133.61961005932318,212.20744567521658,0.0,63521.0,0.18153405061366357,0.5259149394472615,0.0
71.0,82873.0,238.91357421875,377.5224304199219,297.2569274902344,134.18170879966286,212.4518767506284,0.0,65379.0,0.03340910196152436,0.39517595048528165,0.0
72.0,83980.0,239.73712158203125,378.2825012207031,296.63128662109375,134.78523124347424,212.84078555532074,0.0,66113.0,-0.12673155690231397,0.36497963812138323,0.0
73.0,84963.0,240.0705108642578,378.67529296875,297.1558532714844,135.3912965704453,213.60009363293827,0.0,66780.0,0.33015962895422035,0.7341479122237047,0.0
74.0,86095.0,240.83160400390625,379.46307373046875,297.36334228515625,136.12257288920426,214.21951358361358,0.0,67397.0,0.299933638384573,1.2306510910950124,0.0
75.0,87188.0,241.21099853515625,379.79461669921875,296.89971923828125,136.82037161489993,215.61539833694624,0.0,67469.0,0.0384556372790712,1.212757302594241,0.0
76.0,87979.0,242.5543975830078,381.1089782714844,296.5606384277344,137.30971945895513,216.33307652783935,0.0,69620.0,-0.4900663579411457,0.5318800015659804,0.0
77.0,89080.0,243.46868896484375,382.2554016113281,298.7244873046875,137.90667804944454,216.96624158527538,0.0,69774.0,0.14874774101485855,0.6039004459242392,0.0
78.0,89947.0,244.5598602294922,383.40899658203125,299.3038024902344,138.4480811442351,217.84145598528534,0.0,70923.0,0.1188393973006896,1.3303210037283861,0.0
79.0,90849.0,245.36155700683594,384.2266540527344,299.4292297363281,139.026633600732,218.40467027685588,0.0,72257.0,0.17405953942011365,0.8062755216945448,0.0
