t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved,Rfix_px
145.0,201937.0,321.5522155761719,339.2122497558594,325.6612548828125,192.84320119260587,289.5876378576958,0.0,194955.0,1.1669727397270435,2.2148100209469703,0.0,381.0209379084419
146.0,202758.0,322.7447814941406,337.3432312011719,326.4676513671875,193.3046326585406,290.41504779607203,0.0,196884.0,-1.049614117000715,1.4192789433677717,0.0,381.7413711831261
147.0,203671.0,323.55560302734375,335.72833251953125,327.61260986328125,193.67102479670444,290.64239195272256,0.0,192859.0,-1.0582614255561111,-47.308328230881386,0.0,381.7413711831261
148.0,205070.0,324.0722961425781,337.9179382324219,327.706298828125,194.3619427341597,291.8527025744322,0.0,200239.0,-0.19525898583469825,2.957577354262412,0.0,381.7413711831261
149.0,205070.0,324.0722961425781,337.9179382324219,327.706298828125,194.3619427341597,291.8527025744322,0.0,195148.0,-0.7988362588074551,-49.29869415748959,1.0,381.7413711831261
150.0,205070.0,324.0722961425781,337.9179382324219,327.706298828125,194.3619427341597,291.8527025744322,0.0,195888.0,-2.324250894560805,-49.83073747451448,1.0,381.7413711831261
151.0,205070.0,324.0722961425781,337.9179382324219,327.706298828125,194.3619427341597,291.8527025744322,0.0,197635.0,-1.2091389370708612,-47.88179011586192,1.0,381.7413711831261
152.0,209426.0,325.5233154296875,335.0967102050781,329.73828125,196.1675838663573,292.2259399848001,0.0,204969.0,1.342463503437557,1.891572858510699,0.0,382.9556925878875
153.0,213204.0,329.58599853515625,349.94903564453125,330.5,198.3532316347699,296.2828884642714,0.0,207533.0,1.398163786663531,5.403762817538734,0.0,391.7646232178192
154.0,215172.0,330.4487609863281,349.8219909667969,329.56494140625,199.53088043250327,299.29325084156045,0.0,210130.0,-2.181620164748665,0.20967228392606785,0.0,391.7646232178192
155.0,216466.0,330.4487609863281,349.8219909667969,329.56494140625,200.11832208789602,300.54117854297436,0.0,210597.0,3.8263406601370207,5.093452369272711,0.0,391.7646232178192
156.0,221974.0,332.9447326660156,358.60906982421875,329.62017822265625,202.3405577212885,305.00491799313664,0.0,213611.0,-10.488639529660645,-2.3593555847195375,0.0,391.7646232178192
157.0,225182.0,333.9453430175781,356.27996826171875,329.90325927734375,203.89458663172067,307.0142504784594,0.0,213616.0,1.4182711602367135,5.017289976916061,0.0,398.1594765875901
158.0,226450.0,334.5536193847656,351.86474609375,332.02227783203125,204.54603270822162,308.2906096484223,0.0,216217.0,1.6334702364949862,2.7315728152469774,0.0,398.1594765875901
159.0,227307.0,337.19140625,351.0553894042969,335.05694580078125,204.919591528511,308.4444844700582,0.0,208523.0,-0.8817104418486679,-48.692932063534045,0.0,398.1594765875901
160.0,228721.0,337.449951171875,351.48907470703125,335.1890563964844,205.46290661277632,308.8834731739463,0.0,218695.0,3.2102094466411017,5.597348597763357,0.0,398.1594765875901
161.0,235308.0,338.8001708984375,356.0632629394531,335.10406494140625,207.45207332924306,311.021783756685,0.0,221447.0,-13.792018990468591,-2.6371541364832183,0.0,398.1594765875901
162.0,236939.0,340.08758544921875,352.6011962890625,335.8843078613281,208.3270790740477,312.8339815297726,0.0,222315.0,1.1376810467711493,2.7216120431840523,0.0,401.7383512515677
163.0,239531.0,341.06292724609375,352.64422607421875,336.9289245605469,209.5591205734027,315.0142853903613,0.0,224563.0,-1.4991390736306585,-1.1785533724352604,0.0,404.8114132023776
