particle,r_px_med,r_um,circ_resid_frac,inlier_frac,r_px_frame_cv,n_meas
2401,8.64535051646591,1.2432878577729625,0.08996779205430788,0.9432539682539682,0.07914691987048242,6
432,8.602687313007156,1.237152462483559,0.03875118332514722,0.8055555555555556,0.3190420557240937,9
2700,8.600916445179577,1.2368977939812749,0.08107410418094986,0.9333333333333333,0.36782034480459264,9
3049,8.583704849005514,1.234422594335483,0.24362164688420376,1.0,0.11392734089974382,9
11,8.500000000000073,1.2223850000000105,0.03555339499483625,1.0,0.1713983720682456,9
3606,8.49999999999997,1.2223849999999956,0.042039192114073594,1.0,0.16333803917277295,9
2614,8.439187250071578,1.2136395184327935,0.18069779510804068,1.0,0.09635131253043,8
2134,8.419662461581138,1.2108316585999834,0.12013482907921393,1.0,0.11023152813176391,5
71,8.408300144571205,1.209197643790785,0.08383154255956769,0.8611111111111112,0.15915879880114356,9
828,8.39948630160734,1.2079301250341514,0.22455130961553377,1.0,0.1366479398668103,6
2059,8.374024928211572,1.204268524926106,0.16272686384878593,1.0,0.10354107931877773,9
53,8.29687974794713,1.1931742765522768,0.07521660779140414,1.0,0.07099226484665519,9
2431,7.981628253802148,1.1478379591792869,0.154660021756686,1.0,0.03186624054684828,9
2509,7.903087437802399,1.136543004430363,0.051678149583554496,0.9722222222222222,0.06501934727869792,9
1339,7.8757884675185785,1.1326171395138467,0.2135380710439025,1.0,0.04740414912940083,9
879,7.8320055576447105,1.1263207192448859,0.04347794237340185,0.9722222222222222,0.15604129387457835,9
26,7.811042539602415,1.1233060276202231,0.08312205556369696,0.9722222222222222,0.3245213026271762,9
7,7.784292431848567,1.1194590946241425,0.04777321025494519,0.9444444444444444,0.05552318429791424,9
1320,7.7831197713374145,1.1192904543160336,0.07706430619332043,1.0,0.3740355424209635,9
3,7.746945866212808,1.114088285020064,0.0859000903749422,1.0,0.36434887468631094,9
1021,7.708690302508023,1.1085867524036788,0.17089435474384773,1.0,0.045813049869914135,9
3276,7.687878588203326,1.10559381976952,0.09115554567061339,0.9722222222222222,0.38691142750164864,9
3064,7.687270327762353,1.105506345835504,0.2213517367038517,1.0,0.03805006922756288,9
1999,7.649112575901222,1.1000188795403547,0.07546029821982198,0.8611111111111112,0.23487641004807602,9
3119,7.5238926717627965,1.0820110051262077,0.19105083561094396,0.9655172413793104,0.35671170358564447,9
180,7.350822958627832,1.0571218496802686,7.076444388202346e-15,0.8888888888888888,0.11706355056657,9
2080,7.327024866735537,1.0536994460852376,0.07941414063440744,1.0,0.10701797460143382,9
2211,7.2479243638082185,1.04232400275926,0.033496257081121764,0.8888888888888888,0.1402755360539127,9
