particle,n_frames,D_um2_s,D_err,intercept_um2,fit_npts,size_px_med,size_cv,mass_med
1230,121,0.08216304009048368,0.0023299029401723783,0.03745012507131358,30,3.1147492999699358,0.06129844041278921,244.5592325672021
1669,121,0.22439323656252777,0.007761914444677292,0.23108019166193758,30,3.183117265974051,0.02341337772790085,250.33592612868483
1371,120,0.137284698131261,0.0015178679273138388,-0.08028623256332015,30,2.8475059976839967,0.028048579326307416,886.5768449361149
2418,119,0.01769058835325607,0.004086531574744004,0.5972399491760105,30,3.173002233658095,0.027357634752645396,224.03253154014703
1968,119,0.02640574134041604,0.0032145469841747157,0.3342248842793853,30,3.2596295246713707,0.023484101912681722,352.2773112314736
1725,118,0.00747550372398796,0.0013754643465847059,0.2130748585930383,30,3.1054206508904505,0.023509389014812188,282.1409012915839
583,118,0.05019212699539679,0.0035512374029103683,0.21656794886681469,30,3.284703271042863,0.021570058750487002,231.26905233685417
2068,118,0.08266969063568855,0.005200808943234348,0.5049651060286031,30,3.2267596783231154,0.0791645341977832,255.29769324586047
187,117,0.05408274807279461,0.0031428991906360874,0.20888898972311515,30,3.110852154947821,0.02276046174229443,263.0910003981333
2292,112,0.16937540075377763,0.005767437595141025,0.06050200379666566,30,3.219421033911631,0.024017465457113422,322.72879251862275
1777,112,0.05649387495636653,0.0026048159785949563,0.13582629876863864,30,2.585306522685431,0.082368719201643,351.0754593332403
124,112,0.013910962994617812,0.004099099031927507,0.8027914154321174,30,3.20485532010038,0.02591192682361301,234.10508925578017
2878,110,0.038344825737312654,0.0018859305303991778,0.1744418140329788,30,3.179150889842262,0.019446613503272592,275.1571945447578
2638,110,0.3883465553802807,0.010741972675804028,0.26579691873865574,30,2.968955967943674,0.1118821572830479,292.72052672573034
2819,109,0.07369123045851289,0.003387095443454839,0.24140156558426798,30,3.1543844264873377,0.019278898846536906,252.56380038866027
2507,107,0.12568746894837685,0.0073138035122437646,0.3706201249410538,30,2.672534437252846,0.041573373839868664,836.4111070977035
2220,106,0.3442768414583697,0.009922881599993005,0.19240568075899012,30,3.1943927912690606,0.02529322994038345,220.8146194394103
2347,106,0.07085066830779158,0.0010886508432499274,-0.04255002644895006,30,2.4530065302629644,0.02447743634949313,547.3843557949272
1702,105,0.030212136021068037,0.0038761939353048093,0.41736093587979933,30,3.1512073125838165,0.01575628655198828,316.4014902473245
1998,105,0.13863953760113717,0.0036537291958829428,0.1828449888487313,30,2.7775031075187515,0.08593393733204531,928.3730303290894
1008,104,0.08954443488070885,0.007968208571573229,0.3716265021901465,30,3.2654357839165122,0.04279145866099901,248.56157842915678
1297,104,0.122829610717299,0.00374620855938753,0.288080112996291,30,3.1373183142368064,0.02199177369504099,228.77763549745504
1054,103,0.1668383528184988,0.008235000238289256,0.3611452858637342,30,2.705054387795561,0.11296291092551973,510.5652600673804
