particle,keep,proposed,reason,R_px_med,sym_med
6295,0,reject,two-cores;not-round;elongated;defocus,8.208780204472816,1.6836232
2597,0,reject,two-cores;not-round;elongated,13.768344400185171,1.6604847
7234,0,reject,not-round,8.384181513046592,1.6554528
3991,0,reject,rigid-doublet;not-round,9.056005328198117,1.6459807
7659,0,reject,not-round,13.67856601435989,1.61330805
1096,0,reject,short;not-round;elongated,9.689938979441948,1.6013227
7335,0,reject,not-round;mislink,9.2905107635375,1.5880127
4148,0,reject,rigid-doublet;not-round;elongated,12.065470410051208,1.5780948499999998
51,0,reject,not-round,14.203858917206524,1.5699431499999998
62,0,reject,not-round;defocus,9.49979119497038,1.5325103
49,0,reject,not-round;defocus,9.906975040325683,1.5312785
5344,0,reject,two-cores;not-round;elongated,9.5217051649046,1.5241652499999998
4978,0,reject,two-cores;not-round;elongated;mislink,20.874159547807988,1.5061648
54,0,reject,not-round;elongated;mislink,9.305862491830428,1.50083835
263,0,reject,not-round;elongated,8.962187402633457,1.4987197
50,0,reject,two-cores;not-round,25.87867223404513,1.4985796
7608,0,reject,two-cores;not-round;elongated,9.625372072978482,1.4865205
6683,0,reject,not-round,16.431605513903833,1.4755628
8285,0,reject,short;not-round,15.604176940739988,1.4366388
57,0,reject,not-round;elongated,14.397669233393104,1.35383625
3646,0,reject,short;two-cores;not-round;elongated,12.335967587473707,1.3327654999999998
6258,0,reject,not-round,11.26787002321431,1.2904555
7856,0,reject,two-cores;not-round,10.213919655399009,1.28889145
3902,0,reject,not-round,26.02552820420857,1.28355875
5152,0,reject,not-round,8.340900455706219,1.235971
3840,0,reject,rigid-doublet;not-round;elongated;defocus,8.221299357516134,1.23371555
1806,0,reject,short;two-cores;not-round,21.53137471944824,1.2335674
7913,0,reject,two-cores;not-round,24.07476744542993,1.2179413
7919,0,reject,two-cores;not-round,12.078839844739356,1.2148265
3049,0,reject,not-round;elongated;mislink,16.704501083806967,1.2089338500000002
8159,0,reject,not-round;elongated,13.491132333237958,1.19438
75,0,reject,not-round;elongated;mislink,13.279419912686558,1.19355985
6692,0,reject,two-cores;not-round;elongated,26.02872336732299,1.1932201
3334,0,reject,short;two-cores;not-round;elongated,10.99413797123229,1.1629812
4367,0,reject,not-round;elongated,22.777301701717853,1.1517746
7313,0,reject,two-cores;not-round;elongated,11.722950130026636,1.1446822
5876,0,reject,rigid-doublet;not-round;defocus,8.19863751217057,1.1339746
142,0,reject,not-round;elongated,10.197857033033475,1.1337833
650,0,reject,short;two-cores;not-round;elongated,9.135175719286972,1.1226201
855,0,reject,not-round;elongated,9.844534777098032,1.1108243
6574,0,reject,not-round,10.697266548858552,1.0788655
6672,0,reject,not-round,9.442874165980571,1.0693132
73,0,reject,two-cores;not-round;elongated,14.735405687231973,1.02867295
1917,0,reject,not-round;elongated,14.35873760422485,1.01923315
56,0,reject,short;not-round,8.678347599386827,1.00312117
6867,0,reject,two-cores;not-round;elongated,8.395647277605141,0.99959125
907,0,reject,two-cores;not-round;elongated,8.241965168718503,0.99329827
71,0,reject,short;not-round;elongated;mislink,12.95594175498697,0.97223663
1610,0,reject,not-round;elongated,9.59832320393278,0.96251655
4947,0,reject,not-round;elongated;mislink,20.3065953192041,0.956796025
2420,0,reject,not-round;elongated,17.984965955100847,0.95645136
70,0,reject,not-round;elongated,15.13507352176352,0.9555646
3397,0,reject,two-cores;not-round;elongated;mislink,19.379941370118363,0.9424052
8098,0,reject,not-round,8.651275953987467,0.942261585
1919,0,reject,not-round;elongated,20.401477562908862,0.92618513
189,0,reject,not-round;elongated,18.40872731528404,0.9244933
3705,0,reject,rigid-doublet;two-cores;not-round;mislink,14.749535678667844,0.91905403
7488,0,reject,not-round,14.398513075870245,0.9174891
2858,0,reject,two-cores;not-round;elongated,18.419385807936298,0.91748771
7600,0,reject,not-round;elongated,11.962427949319338,0.90040326
8061,0,reject,not-round;elongated,11.617164282986051,0.8903468
4037,0,reject,short;two-cores;not-round;elongated,9.503383080072556,0.88382596
6659,0,reject,two-cores;not-round;elongated,16.80994124901204,0.88363033
4089,0,reject,not-round;elongated;mislink,12.32414396361932,0.86046606
6188,0,reject,two-cores;not-round;elongated;mislink,19.96856715744962,0.86015826
1383,0,reject,two-cores;not-round;mislink,19.644207635450567,0.8544320000000001
6329,0,reject,not-round,13.998004064084354,0.84783345
5977,0,reject,not-round,9.433887551947812,0.83547765
2044,0,reject,not-round;elongated;defocus,17.85805081039446,0.8269476
7706,0,reject,two-cores,21.76503218174069,0.8255058
5139,0,reject,short;two-cores;not-round,12.328785721839392,0.82172048
7743,0,reject,not-round;elongated;mislink,13.2319297545761,0.8212536
1215,0,reject,not-round;elongated,12.30098755879811,0.80569465
4632,0,reject,short;not-round;elongated,12.348429365072503,0.80450938
191,0,reject,two-cores;not-round;elongated,17.138274412859253,0.8020802149999999
973,0,reject,not-round,20.733803963807645,0.8020679
6070,0,reject,not-round;mislink,12.343687518380497,0.78774434
4926,0,reject,two-cores;not-round;elongated,12.881456632935882,0.785078125
4899,0,reject,not-round,9.701087424920884,0.78453183
72,0,reject,not-round,13.07505661420294,0.77849513
3120,0,reject,not-round;elongated,18.29668740738244,0.7758134
2830,0,reject,not-round;elongated,11.765687604287187,0.770141435
7518,0,reject,two-cores;not-round,18.67039405672024,0.74961415
858,0,reject,not-round,12.280404411623056,0.747161
916,0,reject,not-round;defocus,14.608506849832407,0.73958427
1119,0,reject,not-round;elongated;defocus,15.484639605799272,0.72765028
143,0,reject,short;not-round,12.055954303653907,0.7155966
5552,0,reject,two-cores;not-round;elongated,13.808968127550765,0.71501154
2572,0,reject,not-round,10.922815318916427,0.69769436
4610,0,reject,two-cores;not-round;elongated,15.698945681474768,0.685965
5174,0,reject,not-round,11.26885438168461,0.68254536
1400,0,reject,two-cores;not-round;elongated,10.254556521541952,0.65629072
