particle,keep,type,note,source,proposed,reason,x_med,y_med,R_px_med,sym_med
636,0,reject,,auto,reject,not-round,1134.18017578125,154.2262420654297,17.091774209515048,0.45701477
1848,0,reject,,auto,reject,two-cores;not-round;elongated,193.3392333984375,434.91644287109375,17.210016692225995,0.45050064
47,0,reject,,human,reject,not-round;elongated,1159.2630615234375,132.92376708984375,16.102899086877407,0.44901899
5912,0,reject,,auto,reject,short;not-round;mislink,1068.001953125,373.0784606933594,19.979117745276447,0.442938775
5123,0,reject,,auto,reject,not-round;elongated;defocus,620.7195129394531,25.72150611877441,7.4325799892689535,0.442734595
6346,0,reject,,auto,reject,not-round;elongated,1574.8770751953125,796.5879516601562,16.39061802137603,0.4421743
6871,0,reject,,auto,reject,two-cores;not-round;elongated,546.5054931640625,492.19146728515625,15.953545936309506,0.440208465
805,0,reject,,auto,reject,two-cores;not-round;elongated,181.4887084960937,445.9712524414063,18.2533921855816,0.4386064
5744,0,reject,,auto,reject,not-round;elongated;defocus,1422.714599609375,420.9123840332031,15.299619791292718,0.4379994
55,0,reject,,auto,reject,short;not-round;elongated,153.0533676147461,460.5030975341797,15.48866595622574,0.42910181
5822,0,reject,,auto,reject,not-round;elongated;defocus,1570.112548828125,827.8080749511719,18.58212836687965,0.4239521499999999
62,1,single,,human,reject,not-round;elongated;defocus,643.5946044921875,30.838854789733887,9.523990470918106,0.42325986
5714,0,reject,,auto,reject,not-round;elongated,569.8660888671875,497.49462890625,15.868478648573786,0.41854653
3640,0,reject,,auto,reject,rigid-doublet;not-round,13.04242706298828,233.32432556152344,14.555237931071362,0.41244838
4897,0,reject,,auto,reject,two-cores;not-round;defocus,1593.2691040039062,795.1506652832031,25.633712498028515,0.41238051
6147,0,reject,,auto,reject,two-cores;not-round;elongated,573.2245483398438,522.443359375,17.44643980290192,0.41145417
1480,0,reject,,auto,reject,not-round;elongated,715.39013671875,499.9360046386719,14.317751585489578,0.41124955
4302,0,reject,,auto,reject,short;two-cores;not-round;elongated,563.7218017578125,544.373291015625,16.749356963333,0.4112232
3779,0,reject,,auto,reject,not-round;elongated,165.77767944335938,460.8711700439453,16.508480092585277,0.408504885
6332,0,reject,,auto,reject,not-round;elongated,1596.85205078125,841.8096618652344,18.13458708141576,0.40700189
3405,0,reject,,auto,reject,not-round;elongated,738.8311157226562,502.7723693847656,18.102242600358927,0.4068818
7005,0,reject,,auto,reject,short;not-round,1179.7656860351562,752.8525085449219,19.56222400474224,0.39721772
182,0,reject,,auto,reject,not-round;elongated;defocus,750.0421752929688,529.037109375,17.170977579572767,0.3934885
3340,0,reject,,auto,reject,not-round;elongated;defocus,716.3111572265625,514.704833984375,15.8591704635269,0.39258838
4149,0,reject,,auto,reject,short;not-round;elongated,168.91744995117188,444.1904296875,12.32630318452972,0.39229497
4438,0,reject,,auto,reject,not-round,1164.432373046875,160.96087646484375,16.611420139023856,0.38762644
4952,0,reject,,auto,reject,short;not-round;elongated,814.8197631835938,787.7395324707031,18.900416286351437,0.386754215
5046,0,reject,,auto,reject,not-round;elongated,1423.267822265625,441.73204040527344,11.711915139188646,0.386342615
294,0,reject,,auto,reject,not-round,1178.8858642578125,734.8423461914062,32.28580351121671,0.38523376
4081,0,reject,,auto,reject,not-round;elongated,564.2501525878906,516.603515625,18.840553052539203,0.3812244999999999
1153,0,reject,,auto,reject,short;not-round;elongated;defocus,1461.7247314453125,408.60682678222656,14.375982180618523,0.375192415
4995,0,reject,,auto,reject,not-round;defocus,697.2762145996094,215.68767547607425,15.791320467418034,0.3716747
