particle,n_frames,R_px_med,R_cv,resid_med,ring_cv_med,ecc_med,n_cores_med,frac_multicore,inlier_med,n_shape,x_med,y_med,sym_med,polarity,rigid_partner,rigid_sep_cv,rigid_corr,med_step,max_step,mislink,reason,proposed
1161,88,14.943292882341172,0.11138973680133711,0.27769242861463106,0.3621587567464442,0.5976993450706239,1.0,0.14285714285714285,0.9583333333333334,7,1025.9572143554688,240.47663116455078,0.396133535,-1,-1,,,1.1736658509066322,7.669256342617986,False,not-round;elongated,reject
81,59,22.638174253619695,0.13750105961112744,0.27071852795935747,0.2941960563512337,0.48507885059325373,1.0,0.3333333333333333,0.9895833333333333,6,1049.1907958984375,304.1058044433594,0.3949895,1,-1,,,1.6135949144222899,6.915399927583274,False,short;two-cores;not-round;elongated,reject
644,134,10.501074087776312,0.21991627561870608,0.10601313448495707,0.14882522624607714,0.5560026999763321,1.0,0.2,0.9583333333333334,10,1173.8251342773438,486.8591766357422,0.3937449,1,-1,,,1.867814000384703,7.357393010092717,False,not-round;elongated,reject
457,136,19.046052454492365,0.2013483412448984,0.3783185780857299,0.46006285204016717,0.6153543696107849,2.0,0.6,0.9895833333333333,10,993.7388000488281,271.7469482421875,0.391542555,1,-1,,,1.167510987328125,6.787951012783634,False,two-cores;not-round;elongated,reject
1353,277,24.044557855715503,0.05592439828609209,0.24922369157862398,0.34389539012158504,0.6127211608063969,1.0,0.0,0.9270833333333333,22,1303.1339111328125,14.646677017211914,0.39146832,1,-1,,,1.0887714946443743,6.784028438028583,False,not-round;elongated,reject
1489,76,12.033798199326895,0.07619200908781962,0.152556260722262,0.18245861516962336,0.3624039146310945,2.0,0.7142857142857143,0.875,7,584.6928100585938,132.7835235595703,0.38904138,-1,-1,,,1.5498515438029556,6.535725961365995,False,two-cores;not-round,reject
1900,176,10.52631833540778,0.13502235186329048,0.28017882918288994,0.32748903294404147,0.5230197994259413,1.0,0.2857142857142857,0.96875,14,957.1220092773438,907.9860229492188,0.38470709000000003,-1,-1,,,2.303692139032318,6.5872624202653345,False,not-round;elongated,reject
1790,124,22.624663071489017,0.12695822098224177,0.23764722577914965,0.3377578418421405,0.6169471802953546,1.0,0.16666666666666666,0.9479166666666667,12,1076.2130737304688,272.9921112060547,0.38400786,1,-1,,,0.9144925334505059,6.162793434445048,False,not-round;elongated,reject
1720,206,12.724001334008793,0.11048493247063514,0.17897906259855004,0.25342190293546357,0.5331664627521011,1.0,0.058823529411764705,0.9583333333333334,17,1063.0896606445312,239.79385375976562,0.38373205,-1,-1,,,0.8542952208807325,3.3271557153118194,False,not-round;elongated,reject
1596,138,22.71054259406123,0.05941627507059188,0.19289122072682685,0.410686107260222,0.6237148627287596,1.0,0.0,0.7916666666666666,10,1313.5421752929688,29.49090099334717,0.382833095,1,-1,,,0.9740104460088064,7.286942696702655,False,not-round;elongated,reject
1382,203,14.213492308252034,0.1052729596774228,0.2265787914449649,0.2858711793544057,0.5291028983460642,1.0,0.0,0.9375,15,1040.605712890625,238.14134216308597,0.3816791,-1,-1,,,0.8052908705643804,4.575420269440701,False,not-round;elongated,reject
1248,53,18.24343302577651,0.07891792899796632,0.31045965133273934,0.3954020864679084,0.7356640647903345,1.0,0.0,0.96875,4,1105.5811767578125,255.0582733154297,0.3812349,1,-1,,,1.2153250434035598,5.862979844318201,False,short;not-round;elongated,reject
833,134,17.875124479946216,0.14256264832742624,0.22008352880780632,0.2731255322515158,0.538557669195062,1.0,0.18181818181818182,0.9375,11,1027.129150390625,240.07107543945312,0.38094348,-1,-1,,,0.9474004297021296,6.564498327474755,False,not-round;elongated,reject
58,110,19.804309065934657,0.10541826293155004,0.14416013417763704,0.26990873837441753,0.5609912225198549,1.0,0.1,0.8645833333333333,10,1015.4386291503906,293.5043182373047,0.38080411999999997,1,-1,,,0.6893697034928224,3.108537855395667,False,not-round;elongated,reject
1796,51,19.348163276719244,0.1047718616764002,0.28286366681325475,0.36365990994624775,0.42162631273048523,1.0,0.0,0.9583333333333334,5,1085.081298828125,243.34228515625,0.38020375,-1,-1,,,1.2252020301080617,5.413918826042969,False,short;not-round,reject
