particle,n_frames,v_dx_um_s,v_dy_um_s,v_drift_um_s,v_drift_se,drift_z,drift_flag,r2_msd,lin_flag
1449,284,-0.22707286017931666,-0.09360295149892404,0.24560862435860314,0.11008426040441369,2.2310966477525227,True,0.9983529892029449,False
736,280,-0.11916279966910125,0.04889056402129845,0.1288024071021153,0.09829066418228201,1.3104236111707277,False,0.9960212826879681,False
700,265,0.012529978340501936,-0.03240645846868938,0.03474448024789459,0.122521184858419,0.28357936864587163,False,0.9976184007399176,False
1737,258,-0.19049584772388606,0.22660324628712672,0.2960366518320091,0.11622019629942404,2.5472048857094918,True,0.9996410720941937,False
49,258,-0.015899845127622683,0.10234650439980726,0.10357418615631095,0.04048827638525353,2.5581278187982908,True,0.9913071015149417,False
43,256,-0.009135396046267914,-0.10366261610024076,0.10406437160559834,0.06150910073959153,1.6918532437365854,False,0.9954240530118611,False
1754,243,-0.09377403394531407,0.26984298762273057,0.2856725527794682,0.1367001129544059,2.0897755430147273,True,0.9965196777166327,False
1702,242,0.13755221190796613,-0.03349458437638206,0.14157153027116925,0.12157473568998091,1.1644814974731326,False,0.9974062387638032,False
474,239,-0.1361009606447784,0.070562343435624,0.15330530258134734,0.09101069900486505,1.6844756084463461,False,0.9945122136129155,False
682,228,-0.05926618171057865,0.19743125681233198,0.2061348623136036,0.09863488039046497,2.0898779569415957,True,0.99729440825171,False
1915,227,-0.0675770397145436,-0.3022928099733991,0.30975409482070543,0.20806304235593903,1.488751155963589,False,0.9990076328570943,False
1923,220,0.09823747593918264,0.0010930279945441366,0.09824355647623077,0.08262206773389812,1.1890716266342423,False,0.9901843467726035,False
1924,219,-0.0906615496261376,-0.0368054469151841,0.0978476239018559,0.0694541801060859,1.4088082783844142,False,0.973540469037886,False
1812,214,-0.2316647255845409,-0.1203806851145476,0.26107480619318385,0.12186241130542685,2.1423735456772266,True,0.998918897497253,False
1952,210,0.20490326380946663,0.06098071700490595,0.21378492782748812,0.1583268937084856,1.350275514285734,False,0.9954916526800778,False
1296,208,0.251033277602586,0.02699840500681415,0.25248093063993754,0.11411769005467276,2.2124609297557303,True,0.9972308969556941,False
548,207,0.11451425656628104,-0.03768994367448813,0.12055723458637449,0.11869032226979494,1.015729271611007,False,0.9853121836625572,False
1598,202,-0.08835863954900348,-0.1476480329242487,0.17206740193700476,0.07601896115464726,2.263480049233556,True,0.9830151652526744,False
1441,199,0.09521800355822957,0.03069650497380459,0.10004370854392508,0.0618290015100098,1.6180709068660686,False,0.9968215352862917,False
828,198,0.09004180607254399,0.010523887029028761,0.09065472430604694,0.05389753886643255,1.6819826324668565,False,0.9895473165976937,False
1404,190,-0.14882901190809034,-0.17580855127672032,0.23034478827956514,0.1144090737542712,2.013343703614817,True,0.997311618831157,False
980,190,-0.1532781341184557,-0.0208014572689988,0.1546831827424988,0.15103821149661478,1.0241327754729517,False,0.9812402734364317,False
32,189,-0.030851151811357183,-0.05578334882410433,0.06374618085908448,0.09852945580339516,0.646975874770719,False,0.9947004665340005,False
1408,183,-0.003518927545834852,-0.01697457286954819,0.017335483124979147,0.12473575601404854,0.13897765708035403,False,0.9963026801420852,False
1666,181,-0.06102527239464754,0.06783109621958337,0.09124221328525141,0.0919039533935429,0.9927996556855628,False,0.977908503103011,False
597,179,-0.024052013624450648,0.023033786844879948,0.0333024728181876,0.07281031181690004,0.45738676276974477,False,0.8369753619622802,True
615,166,-0.1403800599605713,0.038211503215299564,0.1454877321718448,0.14222985305477834,1.0229057335509706,False,0.9688476112532237,False
57,163,-0.03553525198989299,-0.12734464708173612,0.13220973214690784,0.11408605618855744,1.158859693847215,False,0.9908743541681184,False
1711,159,0.13132775576095201,0.14754320692763304,0.19752462465145607,0.12448628708944784,1.5867179371293127,False,0.9887852496316862,False
11,154,-0.26871550558826746,-0.04498428804541646,0.27245478361465997,0.10503061269792058,2.5940511686651724,True,0.982496601415282,False
790,150,-0.07067244726016338,0.11434998428621576,0.13442661086257573,0.11118420397176322,1.2090441453060656,False,0.9170735728681177,True
1140,149,0.04975917078003041,-0.05915923538055836,0.0773032354272998,0.07346815425670583,1.0522005923436402,False,0.9193376264826194,True
272,148,0.3478971713541649,-0.2040753424861962,0.4033350806055524,0.22698257296585966,1.7769429403120645,False,0.997917989395014,False
1682,148,0.05444489110645426,-0.0024292630069742433,0.054499059499689674,0.05936423409948109,0.9180453572156178,False,0.8933699610559387,True
1654,143,-0.2950181552997381,-0.1570855338990701,0.33423281843172775,0.1821843370855297,1.8345859132490416,False,0.9945355496400589,False
1424,142,0.022527410492451203,0.027685156368009403,0.035692465684182315,0.05171345314439546,0.6901969122912951,False,0.9525522803427935,False
2070,141,0.011828084662896999,0.008441940530969815,0.014531687676284889,0.044419122487831995,0.327149364111496,False,0.850154702689488,True
1712,140,-0.03815334320809637,-0.015493400833400778,0.04117915816695646,0.0577669433363314,0.7128498720661515,False,0.9661594900630908,False
1533,140,-0.024143812150445157,0.14302109073736097,0.14504466919146122,0.20954921618368844,0.6921747159594085,False,0.9990411513642783,False
1070,140,0.021387853391907973,-0.04975388726008584,0.05415615911605144,0.0795322829060828,0.6809330392288974,False,0.9976797121110699,False
64,139,-0.031455880017649956,0.16035994654233476,0.1634159871088054,0.06082470724191985,2.6866711656966356,True,0.9511458633210074,False
2071,136,-0.04654250299403604,0.2901492167181865,0.29385842262410483,0.15626011083832994,1.88057221415987,False,0.9932542645068178,False
73,134,-0.08076635016862103,-0.15790175490084637,0.17735886648354313,0.11707307570525667,1.514941547534482,False,0.9965969245304747,False
1847,133,-0.15512787942471798,-0.1511498512748933,0.21658932687284524,0.11330103352081228,1.911627106499959,False,0.9228795225362724,True
1117,132,0.012262134598553479,-0.07339533049916395,0.07441259627236876,0.08099456633922923,0.918735658892311,False,0.9876410124477036,False
2074,131,0.08707656326018492,-0.13033002425345272,0.15674260139193352,0.1217220276888913,1.287709417662275,False,0.9564329250203012,False
1756,131,-0.23649239132679203,0.23731894950983776,0.33503572190427316,0.1663238638871831,2.014357495515657,True,0.9937662327405022,False
30,131,-0.017829473777980064,0.1360307608723402,0.13719423471380815,0.16093972593864067,0.8524572408313554,False,0.9932527204405465,False
900,130,-0.050066774573727706,0.07804274026293892,0.09272190261186951,0.18432918499937812,0.5030234502050358,False,0.9875949422767477,False
1245,129,0.0756622577008454,-0.001320448981061875,0.07567377898519888,0.10210036446266213,0.7411705078964004,False,0.987768485498146,False
288,127,0.21552049875634613,0.037863493131072005,0.21882122725245584,0.11788189876331956,1.856275047722126,False,0.9705723606754256,False
322,124,0.05439339942828879,0.009343478059691062,0.05519005783306714,0.06934103544738689,0.7959220319826789,False,0.9981351828015652,False
7,123,-0.12736483064807494,0.0525352610643029,0.1377742854857439,0.12531614702999264,1.0994136729464687,False,0.9670878540809255,False
338,123,0.13681776012540917,0.06407417969922888,0.15107812545124816,0.1350990467884292,1.118276768361237,False,0.95419051587691,False
1940,120,0.19635303266290408,-0.23087597570233132,0.30308122606394305,0.16791787094768604,1.8049372848371004,False,0.9886259404632192,False
1066,120,-0.009534290750595078,0.10175631423866943,0.10220200676873092,0.09784650971733491,1.0445135658285456,False,0.8337867142731499,True
2103,115,-0.23279058321572074,0.28735828847614503,0.3698192012184532,0.2063968496174292,1.7917870447341544,False,0.9905286004370842,False
1295,114,-0.17695170537364144,-0.17100621233732619,0.24607931788876264,0.12387030348847568,1.9865884797130309,False,0.9986133048745856,False
1650,113,-0.26280850786825616,-0.09013793633879061,0.27783656954287916,0.14196373488863803,1.9570953790475092,False,0.9919052836423335,False
1525,113,0.1924113971496039,0.17326833431619118,0.25892868019933596,0.11757431094618354,2.20225556174302,True,0.9784841109541268,False
1782,110,-0.23179909393552708,0.22109240209880285,0.32033212485660884,0.24186309597334688,1.3244357249603271,False,0.9861670850910844,False
1786,109,-0.17636428100548707,0.14833943542292302,0.23045378650864898,0.1265034470006549,1.8217194232458813,False,0.932156540379078,True
1918,108,0.2057368960916447,0.14942521163483247,0.2542745844270297,0.1136297499008433,2.2377465817615305,True,0.9736991586936667,False
1975,105,-0.36047266918734366,0.07586532723364015,0.3683695062126009,0.16757876978810005,2.1981871968531377,True,0.9754492832590156,False
752,104,-0.03659962323294094,-0.1926128647190415,0.19605929734666758,0.13507541051130786,1.451480299815594,False,0.9045961002816605,True
1454,101,0.11725804870422593,-0.18477925235449208,0.21884428730631214,0.13702832524748387,1.5970733562645696,False,0.9937660919765016,False
1448,101,0.12326573249098009,-0.010311819558289538,0.12369629917317894,0.1782948925543107,0.6937736544275918,False,0.9103396313635236,True
1406,101,0.05003408842356469,0.1710112865239023,0.17818044259384164,0.10078629556464315,1.7679034792935593,False,0.6066187619537683,True
1987,100,-0.2069965329155527,0.09647035873148278,0.22837271017536326,0.13775547898462967,1.657812174576696,False,0.9320467665574733,True
1138,98,0.02743766373239168,-0.13763778371693514,0.14034594720761132,0.2150420326673598,0.6526442550173762,False,0.9946529419989807,False
1709,98,-0.2267046006711256,-0.1489579705165037,0.27126270098531813,0.15523747164725835,1.7474047864017046,False,0.9936839699432479,False
48,96,0.1506550981027077,0.4476627920508702,0.47233349867558316,0.29895069964223575,1.5799712101053465,False,0.9709945221772244,False
722,96,-0.09035868960205369,-0.0646223905998149,0.11108891102821798,0.06317306561576627,1.7584853599457617,False,0.9906004710825517,False
1224,95,-0.15063011462116027,-0.1114788772004219,0.18739522804129946,0.11760583829993214,1.5934177312131586,False,0.8817711369803864,True
631,95,-0.044522091866050766,0.33156797974741564,0.3345437816757497,0.17435971803844438,1.918698799466896,False,0.9957908175012691,False
326,94,0.17500844399216967,0.008089290922472594,0.175195297015042,0.23064604096497002,0.7595851040064037,False,0.8217606528137116,True
1593,94,0.3550933553662376,0.14146957882391092,0.3822367496171291,0.2136257510281406,1.7892821805306498,False,0.9652722113152227,False
510,93,-0.17931929076666084,-0.022309379718962016,0.1807017334297131,0.10802083250220082,1.6728415181028295,False,0.8649051162967094,True
608,93,0.10547482302378806,0.118672484580413,0.15877057941693032,0.09200633960373775,1.725648255334791,False,0.9838938706358044,False
1397,92,0.08326299721475877,-0.09625528312249922,0.12727060239575128,0.07905714177540271,1.6098558528376923,False,0.9300106414348821,True
2095,91,-0.03739220068601667,0.04257560376958533,0.056664439540933205,0.03479196993909576,1.628664305014225,False,0.8193015314226819,True
2097,90,0.26959767795989703,0.10372690210206996,0.2888635978815274,0.13167791521600175,2.1937133300423346,True,0.9692278273357195,False
1966,90,-0.3552343083114464,-0.11970549980552497,0.37486106824422605,0.18157553320594286,2.064491077765741,True,0.9646441967447613,False
1569,90,-0.20373509836816578,0.005098153279631084,0.20379887505565086,0.19278197751615106,1.0571469267067604,False,0.9892854982973887,False
1328,90,0.10893968393915104,0.36677138115603347,0.3826082863345572,0.22023246838414784,1.7372928212709304,False,0.9716909361890705,False
779,88,0.1563154115544382,-0.1236209013783917,0.19929032878451336,0.14151090607977163,1.408303672878546,False,0.9917038238163994,False
888,87,-0.005111951102410357,-0.18951858048415138,0.18958751117307596,0.1622965082476149,1.1681552069119276,False,0.9902332017442064,False
85,86,-0.34670976560548833,-0.19868305766282532,0.3996030767755201,0.1680622431655482,2.3777088134060826,True,0.9727447714321488,False
2140,85,-0.03132051800310216,0.07920718402181247,0.08517483694523818,0.04500865848214864,1.892410034371948,False,0.9550840962051018,False
2152,85,0.2979390437725233,0.26898471115183864,0.4013981173816385,0.22910164280371634,1.7520525495556476,False,0.9852061560141736,False
1866,84,0.03748698588745106,0.015421103378359459,0.04053497921958274,0.12477938409806257,0.32485317596796925,False,0.9827928610767364,False
2160,83,0.29985477169045516,0.3358785530785789,0.450252469758573,0.27446800851791403,1.6404551925372601,False,0.981685547766407,False
2168,82,-0.035648907714020586,-0.5098737742490069,0.5111184894798172,0.2651333868113379,1.927778676336662,False,0.963200666646349,False
842,81,0.19713592590009865,-0.28130227491344706,0.3435018823121203,0.24620011614374082,1.3952141359331085,False,0.9636302135602666,False
518,80,-0.00864100236127083,-0.08150690001914244,0.08196366068287805,0.05796861970115824,1.413931556511434,False,0.8153650023624256,True
1947,80,-0.07120444256961436,-0.014938398630933861,0.07275457645609791,0.04666966383883386,1.5589265161057102,False,0.9520462707932396,False
933,78,0.053679753875047094,0.03353598905723875,0.0632943799885335,0.06799732457936214,0.9308363289302705,False,0.9268282975518033,True
753,78,-0.301983873877745,0.4615311413945353,0.551548052810589,0.2512061245948417,2.1955995447967456,True,0.9781439838279883,False
1986,78,-0.39409479168376366,0.27404311705486994,0.4800107653349227,0.22932886962287044,2.093110937686549,True,0.9912419337648345,False
2175,78,0.28050005433127595,0.020472469190654975,0.28124615992864876,0.24235852653128304,1.160454983589555,False,0.9848478697269024,False
191,78,0.24224678457244753,-0.07405709233176289,0.2533139505837076,0.1602917455479987,1.5803306010405496,False,0.9856013557582599,False
1182,77,0.143098165852005,0.2225824377509091,0.26461297523996297,0.1682481956718836,1.572753717704107,False,0.9937060804073591,False
1722,77,-0.17050438859261915,0.5355453440145853,0.5620325275507134,0.3047780039108938,1.8440718173186528,False,0.9914390282075126,False
2080,77,0.2719020604916856,-0.17478221970222305,0.32323297298335824,0.28290099591512646,1.1425656948918335,False,0.988263937766322,False
1444,76,0.2415598264131715,0.28350202540892194,0.3724574447473464,0.24861497140003008,1.498129588294381,False,0.9869301254437693,False
