t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px
97.0,23224.0,169.9545135498047,392.5,319.5,90.54351982939002,177.86666351773695,0.0,14532.0,0.9516560106304723,-0.3296161506078761
98.0,23579.0,170.77041625976562,392.5,320.5,91.02572430107408,178.40767887216654,0.0,16180.0,0.9092223850256005,-0.3989452470399897
99.0,23783.0,172.33770751953125,394.5,321.0,91.46402439238054,179.80266941954565,0.0,15728.0,0.7832739527372041,-0.1716397672684593
100.0,24017.0,172.33770751953125,394.5,321.0,91.98342161212216,182.03735877323783,0.0,16084.0,0.9794028352675923,-0.4135906095978612
101.0,24197.0,173.1510467529297,394.5,322.0,92.33725766790731,183.44099865979283,0.0,16305.0,0.8086474569229267,-0.8714111596564749
102.0,24404.0,173.1510467529297,394.5,322.0,92.68156880450843,184.4863134899794,0.0,15977.0,0.7054315615527003,-0.04999256114962236
103.0,24603.0,173.1510467529297,394.5,322.0,93.00822223751437,185.53975315279473,0.0,19232.0,0.6528220374819966,1.3394926023527205
104.0,24882.0,173.90309143066406,391.5,325.0,93.69440253241724,188.04507438288346,0.0,17751.0,0.774723179198304,-0.5613660865849965
105.0,25081.0,174.46571350097656,392.5,325.0,93.99253745921281,188.95766721676048,0.0,16233.0,0.8896078832319745,-0.45287212680403854
106.0,25358.0,174.59750366210938,392.0,325.5,94.39359964874023,189.73824070501473,0.0,16312.0,0.8603039253213183,-0.7098642065161016
107.0,25635.0,175.27845764160156,397.5,321.5,94.82667114925995,190.6945198677875,0.0,16943.0,0.6314091766125784,-0.4436595602995226
108.0,25971.0,175.44525146484375,397.0,322.0,95.18164658762883,191.637678967368,0.0,16054.0,0.7188028441662482,-0.3291928144560643
109.0,26221.0,176.22793579101562,397.5,321.0,95.44903319253146,192.09633000138237,0.0,16434.0,0.924977040347585,-0.6747380135518029
110.0,26430.0,176.22793579101562,397.5,321.0,95.77346303874923,193.02253670100467,0.0,16870.0,0.7798245136931428,-0.5983293002795449
111.0,26639.0,176.22793579101562,397.5,321.0,96.05113000261404,193.7263532703885,0.0,17123.0,0.7430131199980679,-0.5409108443993773
112.0,26910.0,179.40606689453125,395.5,318.5,96.4612667574393,194.62014284240982,0.0,16431.0,0.7603310427874703,-0.5710933427565692
113.0,27248.0,179.83128356933594,395.5,318.0,97.02708408211026,195.8979326077741,0.0,16736.0,0.7815373330652164,-0.6162245377348086
114.0,27571.0,179.83128356933594,395.5,318.0,97.46417361242389,196.66087558397555,0.0,17120.0,0.85020023235802,-0.5517045871695814
115.0,27854.0,179.99246215820312,392.5,320.0,98.05519379737544,197.845267731314,0.0,17665.0,0.8275949769906674,-0.4846057769838126
116.0,28209.0,179.99246215820312,392.5,320.0,98.71455730429648,199.3323825421823,0.0,19369.0,0.8920396557085724,-0.29436980489543885
117.0,28531.0,181.10780334472656,388.0,322.0,99.26802123196829,200.14244927051334,0.0,18013.0,0.8877984770011835,-0.422724831409937
118.0,28718.0,181.8991241455078,387.0,322.5,99.65773474812536,201.19157527445478,0.0,17913.0,0.5758155706470234,-1.8416203730079133
119.0,28947.0,181.8991241455078,387.0,322.5,99.90116361550439,201.77487286025334,0.0,19155.0,0.8646726539229803,-0.6630440247988645
