t_s,M_px,Rg_px,R95seed_px,Rmaxseed_px,circ_cx_px,circ_cy_px,circ_R_px,edge,n_comp
237.5,305585.0,255.81467008344288,377.8901956918173,480.9656952423946,492.6083984375,328.02471923828125,432.3621520996094,1.0,2.0
238.0,306428.0,256.14591169452547,378.3556527924487,480.9656952423946,491.4239807128906,327.6509704589844,432.9248046875,1.0,4.0
238.5,307303.0,256.42743617074956,378.85749299703707,481.00103949991626,491.5215148925781,328.1848449707031,433.25274658203125,1.0,4.0
239.0,306719.0,256.8307177205396,379.47740378195704,481.04053883222775,489.7055969238281,328.7242126464844,434.9247741699219,1.0,5.0
239.5,307702.0,257.10353210766664,379.98947353841265,481.04053883222775,489.1538391113281,328.9006042480469,435.43603515625,1.0,2.0
240.0,308683.0,257.3684128267663,380.43383130295405,481.6897341650536,489.5631408691406,328.85870361328125,435.8037414550781,1.0,3.0
240.5,309557.0,257.65300193845087,380.741382042982,481.72710116828597,489.1354064941406,329.42254638671875,436.5207214355469,1.0,6.0
241.0,310308.0,257.9633968981751,381.3200755271088,481.76861666156714,489.8828430175781,330.3235168457031,436.6684875488281,1.0,3.0
241.5,309771.0,258.3939616987654,381.98625617111463,482.4976683881488,489.43072509765625,330.29522705078125,437.6819152832031,1.0,5.0
242.0,310369.0,258.6999389322973,382.27346232769025,481.814279572534,489.3939208984375,330.8013000488281,437.3796691894531,1.0,6.0
242.5,311121.0,258.972978375602,382.8276374558138,481.814279572534,489.89190673828125,331.40972900390625,437.4751281738281,1.0,3.0
243.0,312099.0,259.2509649514182,383.4188310451118,482.5453346577915,490.301513671875,331.3341369628906,437.86187744140625,1.0,3.0
243.5,312901.0,259.5480741843153,383.83590243748694,482.59714048054616,490.6156005859375,331.6858215332031,437.9400939941406,1.0,4.0
244.0,312398.0,259.8815357530979,384.3300664748299,482.6530845234494,490.85198974609375,332.1887512207031,438.1899719238281,1.0,4.0
244.5,313217.0,260.19757334204127,384.96882990704586,483.3311494203534,491.1825256347656,332.30462646484375,438.73187255859375,1.0,3.0
245.0,313867.0,260.4687849510066,385.3894134508627,483.3311494203534,491.6955261230469,332.7146301269531,438.95306396484375,1.0,4.0
245.5,314579.0,260.750515175716,385.84582413186746,484.0103304682659,491.54925537109375,332.3393249511719,439.55181884765625,1.0,2.0
246.0,315609.0,261.0745593924869,386.51778743028115,484.74426247249176,491.40557861328125,332.9498596191406,440.8101806640625,1.0,1.0
246.5,314909.0,261.45184435874216,387.2002066115151,485.47914476319164,492.2388000488281,333.4412841796875,441.2630310058594,1.0,3.0
247.0,315593.0,261.7349464306286,387.5061289837878,485.42352641791064,489.0409240722656,333.6757507324219,443.722412109375,1.0,4.0
247.5,316368.0,262.02279040269156,388.2331773560833,486.78537365044156,487.88763427734375,333.8709716796875,446.048583984375,1.0,2.0
248.0,317313.0,262.3213461466208,388.73770077006935,487.5171791844878,488.363525390625,333.8854675292969,446.4474792480469,1.0,1.0
248.5,316703.0,262.7109789210139,389.2351474366106,487.5171791844878,488.01593017578125,334.1372375488281,446.8742370605469,1.0,2.0
249.0,317554.0,263.01636285258166,389.84740604498063,489.6631495221996,488.5619201660156,333.0569763183594,447.90191650390625,1.0,3.0
249.5,318446.0,263.3339554539395,390.486875579705,491.1313469938566,488.2948303222656,332.1588439941406,448.9952392578125,1.0,3.0
250.0,319171.0,263.6512445356143,391.0716046966335,491.92784023675665,488.333984375,331.50433349609375,449.36981201171875,1.0,2.0
250.5,318844.0,264.0898142316059,391.7393265925303,492.6662156064692,488.3112487792969,330.83660888671875,449.6993103027344,1.0,4.0
251.0,319518.0,264.35178212191715,392.04591567825315,492.73319352363507,486.8388671875,330.4652099609375,450.6670227050781,1.0,6.0
251.5,320275.0,264.6279201864322,392.587569849072,493.405512737748,486.2382507324219,329.81787109375,451.3521423339844,1.0,6.0
252.0,321075.0,264.85918649773146,393.0739116035944,494.0789410610414,487.8050231933594,329.399658203125,450.5481872558594,1.0,5.0
252.5,321540.0,265.14607299864775,393.41987742844265,494.0789410610414,486.7673645019531,329.9787292480469,451.71142578125,1.0,5.0
253.0,321160.0,265.5223478355298,394.224808959022,494.7534739645594,488.4752502441406,331.0058288574219,451.75726318359375,1.0,5.0
253.5,321389.0,265.71715094769195,394.4946133979525,494.7534739645594,488.8311462402344,331.4810791015625,451.80364990234375,1.0,5.0
254.0,322209.0,265.98834272304356,394.80248226170005,494.7534739645594,489.2806091308594,332.0811767578125,451.8633117675781,1.0,4.0
254.5,323103.0,266.220823325001,395.36438888701144,494.7534739645594,489.4698181152344,333.0429992675781,452.3589172363281,1.0,6.0
255.0,324110.0,266.4694398173101,395.790348543266,494.0789410610414,490.4086608886719,334.14404296875,451.7238464355469,1.0,5.0
255.5,323370.0,266.777584310118,396.18177646126026,494.01619406655084,491.4644470214844,335.6192321777344,451.8435363769531,1.0,9.0
256.0,324151.0,267.09596368084357,396.4454565258631,493.34065309885017,491.61578369140625,337.096435546875,452.0509948730469,1.0,7.0
256.5,324730.0,267.28240899728655,396.93072443437785,493.405512737748,493.3713684082031,337.9542236328125,451.3952331542969,1.0,6.0
257.0,325713.0,267.63031619610285,397.3675880088863,493.405512737748,492.3063659667969,339.5518493652344,453.2572326660156,1.0,10.0
257.5,326391.0,267.883766928323,397.68329107469424,493.405512737748,493.7984924316406,341.54962158203125,453.5012512207031,1.0,4.0
258.0,325813.0,268.2807178738547,398.2740262640731,493.4744167634225,494.70941162109375,343.151123046875,453.9736633300781,1.0,4.0
258.5,327166.0,268.4008314867849,398.58876050385567,493.54736348196616,494.8452453613281,344.302978515625,454.7130126953125,1.0,6.0
259.0,326858.0,268.8627238287125,399.06139878469827,493.54736348196616,495.0993957519531,345.37615966796875,455.2519836425781,1.0,6.0
259.5,327555.0,269.10335038773326,399.50594488693156,494.01619406655084,494.9468078613281,345.4527282714844,455.9453125,1.0,4.0
260.0,328078.0,269.27434036394965,399.8612259271959,494.01619406655084,495.2912292480469,345.9140930175781,456.010986328125,1.0,5.0
260.5,328148.0,269.5993114270862,400.2161915765028,494.01619406655084,494.7646179199219,345.9361572265625,456.4093322753906,1.0,3.0
261.0,328991.0,269.8256845986241,400.5621050473946,494.1457274934187,495.1191101074219,346.2579040527344,456.5546569824219,1.0,4.0
261.5,328953.0,270.1330486954258,401.1328956465627,494.2165517260627,494.85089111328125,346.6225891113281,457.00579833984375,1.0,2.0
262.0,329649.0,270.40259280905263,401.54277480690376,494.7534739645594,495.32647705078125,346.5979309082031,457.4300231933594,1.0,2.0
262.5,330286.0,270.65065471419166,401.807167681215,494.88685575593945,495.6339111328125,346.3681945800781,457.8111572265625,1.0,2.0
263.0,330791.0,270.8818953757087,402.41272345690066,494.7534739645594,495.50799560546875,347.42620849609375,458.04205322265625,1.0,1.0
263.5,331325.0,271.21453377215244,402.7033647736259,495.4916750057462,494.7878723144531,347.0213317871094,458.85858154296875,1.0,1.0
264.0,332299.0,271.50172666228355,403.01985062773275,495.4916750057462,495.5422668457031,348.2689514160156,458.8994140625,1.0,1.0
264.5,332973.0,271.77323924941527,403.53686324795655,495.5582710438804,496.0337219238281,348.2494812011719,458.9756164550781,1.0,1.0
265.0,330611.0,271.28910188242867,404.14106448120316,495.5582710438804,495.1271057128906,348.38623046875,460.2222595214844,1.0,1.0
265.5,333031.0,272.34896998849047,404.357515077932,496.2993048554471,495.56494140625,348.84075927734375,460.3815612792969,1.0,1.0
266.0,333607.0,272.5813365103673,404.6028917246915,496.2993048554471,495.13861083984375,349.312744140625,461.2106628417969,1.0,2.0
266.5,334388.0,272.8560368156882,405.0308630215727,496.7293025381128,495.5018310546875,349.39276123046875,461.4938049316406,1.0,2.0
267.0,332471.0,272.3577294517225,405.7647101461634,496.7293025381128,496.0829772949219,350.1207275390625,461.6661682128906,1.0,1.0
267.5,336135.0,273.34126891702573,405.77087130546965,497.41029341982863,495.6716613769531,349.8755798339844,462.3011169433594,1.0,1.0
268.0,333409.0,273.0296643749576,406.43326635500694,497.41029341982863,494.6092224121094,349.9026184082031,463.1175842285156,1.0,2.0
268.5,332733.0,273.40258294686737,407.08991628240227,497.46256140537855,496.0375671386719,349.9517822265625,462.58905029296875,1.0,2.0
269.0,333226.0,273.66611453461763,407.4125673073917,498.1425498790482,496.2947998046875,350.2029724121094,462.6993103027344,1.0,2.0
269.5,334860.0,273.7933524491883,407.7219640868726,498.8236161209692,495.7921447753906,349.9021911621094,463.2795715332031,1.0,1.0
270.0,337061.0,274.82409685561953,407.9423978946047,498.8236161209692,495.5981140136719,350.3036193847656,463.8057861328125,1.0,1.0
270.5,335153.0,274.3744217905083,408.4176783637065,499.1963541533532,495.6177673339844,350.10107421875,463.9174499511719,1.0,1.0
271.0,338288.0,275.27513833501376,408.57924567946424,499.50575572259424,496.0545654296875,350.4241638183594,464.1539611816406,1.0,1.0
271.5,339065.0,275.52696385684624,408.8532744151623,499.9399963995679,495.86767578125,350.74224853515625,464.72674560546875,1.0,1.0
272.0,337114.0,275.06222437601633,409.59125967237145,500.6845314167395,496.61175537109375,350.7519226074219,464.9201354980469,1.0,1.0
272.5,336668.0,275.44240500898724,410.1280287910106,500.87323745634484,496.9779052734375,350.85406494140625,465.1981201171875,1.0,2.0
273.0,339908.0,276.38686564118365,410.16094402075873,500.9191551538032,496.78692626953125,350.9123840332031,465.4630432128906,1.0,1.0
273.5,337957.0,275.9921628980655,410.95133531842913,501.6502765871858,497.85369873046875,351.4385681152344,465.7074279785156,1.0,1.0
274.0,338684.0,276.1839400802729,411.0924470237808,501.6502765871858,497.9069519042969,351.90771484375,465.9984130859375,1.0,1.0
274.5,341326.0,277.23730024253933,411.5558892622474,502.38232452983453,498.72900390625,352.033447265625,466.21343994140625,1.0,2.0
275.0,341801.0,277.45820354971625,411.80820778610035,502.38232452983453,498.86541748046875,352.6164245605469,466.52545166015625,1.0,2.0
275.5,342789.0,277.7590041781662,412.2671463373781,503.1152949374527,499.33074951171875,352.6449279785156,466.9262390136719,1.0,2.0
276.0,343132.0,277.9514669331801,412.4875755704649,503.1152949374527,499.14202880859375,352.779052734375,467.1548156738281,1.0,2.0
276.5,342837.0,278.3533878088348,412.9721540249415,503.8491837841955,498.58599853515625,353.0859069824219,468.4796447753906,1.0,2.0
277.0,343570.0,278.5692348744373,413.26988760373047,503.8491837841955,499.1363830566406,353.4314880371094,468.3291931152344,1.0,2.0
277.5,344120.0,278.7972522315827,413.8272586478566,504.5839870626098,498.2611083984375,353.53790283203125,469.7423095703125,1.0,2.0
278.0,344704.0,278.98154274974723,413.93356954951116,504.5839870626098,498.16839599609375,353.4114685058594,469.7201843261719,1.0,2.0
278.5,345290.0,279.2054117922118,414.4232739564195,504.6434384790909,498.5914001464844,353.9747009277344,469.827880859375,1.0,1.0
279.0,342109.0,278.98334831921363,415.31313487536124,504.7068456044558,498.2408142089844,354.58087158203125,470.5216064453125,1.0,1.0
279.5,342891.0,279.19505975890024,415.72346577983785,505.38104436157874,497.913330078125,354.2037658691406,471.1903991699219,1.0,3.0
280.0,346022.0,280.09390637892153,415.7396420738424,505.38104436157874,497.325439453125,354.2371826171875,471.6356506347656,1.0,1.0
280.5,344257.0,279.73765187807777,416.51530584121394,506.0563209762328,496.1778259277344,354.2366943359375,473.1553649902344,1.0,1.0
281.0,347082.0,280.64081159207774,416.53451237562535,506.0563209762328,495.2987060546875,354.2864990234375,473.8217468261719,1.0,1.0
281.5,344070.0,280.2849525552264,417.3871104861768,506.0563209762328,496.532958984375,355.6189270019531,473.8637390136719,1.0,2.0
282.0,344607.0,280.5271531922975,417.7991144046301,506.67543852055826,497.298095703125,355.65484619140625,474.02734375,1.0,2.0
282.5,345420.0,280.74145058689567,418.1160126089409,506.7326711393296,497.1824951171875,356.7210998535156,474.869140625,1.0,2.0
283.0,344899.0,281.02890824288977,418.42729356238675,506.0563209762328,497.2435607910156,357.3916931152344,474.5948181152344,1.0,3.0
283.5,345563.0,281.2154054028405,418.71470000466906,506.7326711393296,497.3825988769531,357.3129577636719,475.14141845703125,1.0,1.0
284.0,345905.0,281.42651189402613,419.00477324250136,506.7672049373361,496.79498291015625,357.3487854003906,475.5854797363281,1.0,2.0
284.5,345711.0,281.7316447904559,419.57716811094474,507.52142811905,497.5629577636719,357.3629455566406,475.76092529296875,1.0,1.0
285.0,346524.0,281.97225315923083,419.697510118895,507.52142811905,496.67596435546875,357.435791015625,476.420654296875,1.0,2.0
285.5,346013.0,282.2892378980588,420.0773738253466,507.98622028555064,496.5185852050781,357.05145263671875,476.9669494628906,1.0,3.0
286.0,346925.0,282.494439767405,420.38458582157654,508.17811837976654,496.588134765625,357.04461669921875,476.915771484375,1.0,4.0
286.5,346064.0,282.8205834559493,420.7766628509713,508.2764995551142,496.6691589355469,357.5095520019531,477.3660888671875,1.0,3.0
287.0,345429.0,283.09395484762445,421.2790049361587,508.93221552580064,497.0304260253906,357.5435485839844,477.6630859375,1.0,1.0
287.5,346116.0,283.2990588464782,421.58302859547877,508.93221552580064,497.662841796875,357.9646301269531,477.51153564453125,1.0,3.0
288.0,345354.0,283.4821630929942,422.15281593280883,511.85349466424475,497.8981628417969,356.1680603027344,478.6028747558594,1.0,3.0
288.5,345225.0,283.95449672187146,422.46538319725084,514.0204276096428,496.42095947265625,355.5065612792969,481.3948974609375,1.0,5.0
289.0,345575.0,284.08298469187696,422.8711387645177,516.0852642732594,493.8489685058594,354.937744140625,484.9999694824219,1.0,5.0
289.5,345574.0,284.5486553657346,423.38162454220895,516.8413683133346,494.5994567871094,355.76177978515625,485.73870849609375,1.0,4.0
290.0,344899.0,284.75500962288686,423.72750677764594,517.9623538443697,494.6106872558594,355.1549072265625,486.54852294921875,1.0,4.0
290.5,345517.0,285.02099581908186,424.12403846018634,518.1515222403578,499.1025085449219,355.6257019042969,483.68084716796875,1.0,5.0
291.0,345184.0,285.4019637941487,424.6433797906191,519.3736612497788,494.6083679199219,354.8029479980469,487.72454833984375,1.0,5.0
291.5,344715.0,285.7093850803432,425.0,518.6231772684287,494.2433166503906,355.66290283203125,487.8424072265625,1.0,4.0
292.0,345508.0,285.9878023134996,425.6994244769424,519.3736612497788,494.8570251464844,356.29693603515625,488.5567932128906,1.0,5.0
292.5,344971.0,286.3331676600873,425.8878960150066,520.0346142325528,495.5547790527344,357.293212890625,489.40692138671875,1.0,5.0
293.0,344786.0,286.6814034918366,426.4325855275863,520.124984979572,496.0666809082031,358.7881774902344,490.1014709472656,1.0,4.0
293.5,345174.0,286.8559883480187,426.75519914817676,520.8771448239978,496.34222412109375,358.5418701171875,490.4627990722656,1.0,4.0
294.0,346157.0,287.23676863480665,427.29966065982313,520.8771448239978,495.4630432128906,358.3116455078125,490.94927978515625,1.0,7.0
294.5,345486.0,287.4245380596413,427.6739412215806,521.6301371661725,495.5881042480469,358.693603515625,491.8501892089844,1.0,5.0
295.0,345017.0,287.70415717310243,428.1413318052813,521.7278984298233,495.928955078125,359.11541748046875,491.9405517578125,1.0,7.0
295.5,345769.0,287.99774164228154,428.4425282249981,521.7278984298233,495.5426330566406,359.004638671875,492.14898681640625,1.0,7.0
296.0,346522.0,288.3056008694554,428.981351576033,521.7278984298233,495.2100830078125,359.6206970214844,492.8113708496094,1.0,7.0
296.5,346121.0,288.69913975009433,429.5776996074168,522.3839584060751,495.16375732421875,358.9751892089844,493.08612060546875,1.0,5.0
297.0,346860.0,288.93122858753486,429.9069666800016,523.1386049604828,495.4012756347656,359.0036926269531,493.665283203125,1.0,5.0
297.5,346336.0,289.1349910934579,430.31383895942736,523.8940732629069,494.156005859375,357.39947509765625,494.2331848144531,1.0,8.0
298.0,346065.0,289.55321243263967,430.76791895404654,523.8940732629069,494.428955078125,357.87005615234375,494.34942626953125,1.0,8.0
